Segment,Zone,NSE_Price,Max_NSE_MW,Total_NSE_MWh,NSE_Percent_of_Demand
1,1,2000.0,2.0195572156250923e-16,1.9224892427369897e-13,Inf
1,2,2000.0,3.0237681325671026e-16,3.026968312449003e-13,Inf
1,3,2000.0,3.0250169596111753e-16,3.0198439089464786e-13,Inf
1,4,2000.0,2.605532171882868e-16,2.1763216653828342e-13,Inf
1,5,2000.0,2.6922706019299204e-16,2.287301241986874e-13,Inf
1,6,2000.0,2.4656921908609017e-16,2.161458536392983e-13,Inf
1,7,2000.0,2.5047081751632445e-16,2.1071870274363914e-13,Inf
1,8,2000.0,3.1452861559172797e-16,2.917344243823757e-13,Inf
1,9,2000.0,3.0614143511245885e-16,2.841109724247923e-13,Inf
1,10,2000.0,2.623766094676924e-16,2.1934519827146184e-13,Inf
1,11,2000.0,2.9485966643967064e-16,2.732649993819907e-13,Inf
1,12,2000.0,2.1088229170832914e-16,1.940396433435367e-13,Inf
1,13,2000.0,2.2319162209463484e-16,2.2597176779895324e-13,Inf
1,14,2000.0,1.6557263923325517e-16,1.793631985765009e-13,Inf
1,15,2000.0,1.665737237669741e-16,1.8858640539358398e-13,Inf
1,16,2000.0,2.7744758117870516e-16,2.3992712937628923e-13,Inf
1,17,2000.0,1.8161040419516795e-16,2.0057276805410564e-13,Inf
1,18,2000.0,1.487897596109163e-16,1.715220085424622e-13,Inf
1,19,2000.0,1.6910474479187666e-16,1.7904012721363032e-13,Inf
1,20,2000.0,1.313349544715062e-16,1.6115194095732484e-13,Inf
1,21,2000.0,1.534344802771282e-16,1.747124339647508e-13,Inf
1,22,2000.0,1.4379587331366983e-16,1.6939657521182216e-13,Inf
1,23,2000.0,1.4589667148358869e-16,1.6884615726051384e-13,Inf
1,24,2000.0,1.3558858873398608e-16,1.640804812289771e-13,Inf
1,25,2000.0,1.3224643814857617e-16,1.6182758249048975e-13,Inf
1,26,2000.0,1.4654343329724017e-16,1.7142220262037383e-13,Inf
1,27,2000.0,1.453784634875291e-16,1.7055675098151137e-13,Inf
1,28,2000.0,1.401741847425593e-16,1.6685049248543544e-13,Inf
1,29,2000.0,1.3543525442620363e-16,1.6386503743168303e-13,Inf
1,30,2000.0,1.3255328600787902e-16,1.6195939170274747e-13,Inf
1,31,2000.0,1.4137772770725738e-16,1.6763567622975323e-13,Inf
1,32,2000.0,1.5283152201637845e-16,1.74056216362471e-13,Inf
1,33,2000.0,1.3996491651649113e-16,1.6668312260275227e-13,Inf
1,34,2000.0,1.366647599003772e-16,1.6468109822827636e-13,Inf
1,35,2000.0,1.3732304494499892e-16,1.6494916868967574e-13,Inf
1,36,2000.0,1.3133338555141445e-16,1.6103359135863986e-13,Inf
1,37,2000.0,1.3731748113432843e-16,1.651198121545999e-13,Inf
1,38,2000.0,1.5129700265783456e-16,1.736225932789581e-13,Inf
1,39,2000.0,1.386954768230249e-16,1.643276696950975e-13,Inf
1,40,2000.0,1.3500271569330256e-16,1.6357560418058564e-13,Inf
1,41,2000.0,1.3591907593774126e-16,1.6414628924290968e-13,Inf
1,42,2000.0,1.3977610091187192e-16,1.6502785898796049e-13,Inf
1,43,2000.0,1.4776239322430666e-16,1.7199006741717272e-13,Inf
1,44,2000.0,1.4249751351594665e-16,1.684163921154539e-13,Inf
1,45,2000.0,1.3814391643049236e-16,1.6553773891908653e-13,Inf
1,46,2000.0,1.429798795878484e-16,1.688107721355095e-13,Inf
1,47,2000.0,1.4569930439613182e-16,1.687176265734025e-13,Inf
1,48,2000.0,1.4304242202330004e-16,1.6887059665067644e-13,Inf
1,49,2000.0,1.72986764235867e-16,1.8029017381148276e-13,Inf
1,50,2000.0,1.9248722847558527e-16,1.865400866221689e-13,Inf
1,51,2000.0,1.5055828063739817e-16,1.7333623720885585e-13,Inf
1,52,2000.0,1.5469331702571547e-16,1.7476446876143867e-13,Inf
1,53,2000.0,1.4810186175320455e-16,1.7216718240704862e-13,Inf
1,54,2000.0,1.4503408993269514e-16,1.7081823153675608e-13,Inf
1,55,2000.0,1.7696367149531873e-16,1.815906584047829e-13,Inf
1,56,2000.0,1.5118238391985279e-16,1.7401273229168428e-13,Inf
1,57,2000.0,1.5654240288477e-16,1.7522638681748773e-13,Inf
1,58,2000.0,1.8959199883904408e-16,1.8683293310460053e-13,Inf
1,59,2000.0,1.3742056604066498e-16,1.652106605767827e-13,Inf
1,60,2000.0,2.6874593487262206e-16,2.2454662290239392e-13,Inf
1,61,2000.0,1.335153412215447e-16,1.6260300740314718e-13,Inf
1,62,2000.0,2.2612732029460413e-16,1.984363640188555e-13,Inf
1,63,2000.0,1.4569930439613182e-16,1.6871762657340572e-13,Inf
1,64,2000.0,1.4239999340740432e-16,1.6847231336408235e-13,Inf
1,65,2000.0,1.3301245924806934e-16,1.6191581094788422e-13,Inf
1,66,2000.0,2.785129385483249e-16,2.361300387330409e-13,Inf
1,67,2000.0,2.6059758499468858e-16,2.1643077760643133e-13,Inf
1,68,2000.0,1.6381555632215097e-16,1.775766928468925e-13,Inf
1,69,2000.0,2.507322201640543e-16,2.1143456649385403e-13,Inf
1,70,2000.0,1.3488892786551624e-16,1.6351816759329257e-13,Inf
1,71,2000.0,1.50994299425765e-16,1.7350976726516456e-13,Inf
1,72,2000.0,1.4823699239741295e-16,1.703848735698325e-13,Inf
1,73,2000.0,1.4068730864262047e-16,1.6733360795099648e-13,Inf
1,74,2000.0,3.059699568830912e-16,2.885078395598517e-13,Inf
1,75,2000.0,1.523551428693396e-16,1.7297250767639244e-13,Inf
1,76,2000.0,1.3586403560716165e-16,1.641326666008989e-13,Inf
1,77,2000.0,2.296566874645376e-16,1.997956392983871e-13,Inf
1,78,2000.0,1.4129446566085043e-16,1.676685438415436e-13,Inf
1,79,2000.0,1.3576263189049015e-16,1.6393744100449722e-13,Inf
1,80,2000.0,1.421488012412801e-16,1.681778136459769e-13,Inf
1,81,2000.0,1.5431754372229398e-16,1.7474388378520936e-13,Inf
1,82,2000.0,2.8177713285319012e-16,2.737731258137815e-13,Inf
1,83,2000.0,2.4200955644907067e-16,2.1199423494049862e-13,Inf
1,84,2000.0,2.63568631190208e-16,2.3815689972653734e-13,Inf
1,85,2000.0,1.3916926922199972e-16,1.6463282324419918e-13,Inf
1,86,2000.0,2.610303268068924e-16,2.3485640427799396e-13,Inf
1,87,2000.0,2.544541653421582e-16,2.2586142394473163e-13,Inf
1,88,2000.0,1.630299885901618e-16,1.7826034188795392e-13,Inf
1,89,2000.0,2.926440823007302e-16,3.1569282607740543e-13,Inf
1,90,2000.0,2.1555343729978936e-16,1.975075704452542e-13,Inf
