ID,Zone,Village,Resource,Total_Storage_MWh,Start_Storage_MWh,Change_in_Storage_MWh
3,1,1,batt_bel1,1.732321199587103,0.0,1.732321199587103
6,1,2,batt_bel2,5.285497078232325,0.0,5.285497078232325
9,1,3,batt_bel3,5.260455306226546,0.0,5.260455306226546
12,1,4,batt_bel4,2.4310759018416626,0.0,2.4310759018416626
15,1,5,batt_bel5,2.737001003776533,0.0,2.737001003776533
18,1,6,batt_bel6,2.406002239279103,0.0,2.406002239279103
21,1,7,batt_bel7,2.2403408666116595,0.0,2.2403408666116595
24,1,8,batt_bel8,4.428868233925376,0.0,4.428868233925376
27,1,9,batt_bel9,4.269247754499191,0.0,4.269247754499191
30,1,10,batt_bel10,2.479145657484552,0.0,2.479145657484552
33,1,11,batt_bel11,4.12477952217958,0.0,4.12477952217958
36,1,12,batt_bel12,1.7746205352177418,0.0,1.7746205352177418
39,1,13,batt_bel13,2.463525353795912,0.0,2.463525353795912
42,1,14,batt_bel14,1.2838431809639252,0.0,1.2838431809639252
45,1,15,batt_bel15,1.6128935984120591,0.0,1.6128935984120591
48,1,16,batt_bel16,3.0662371753507562,0.0,3.0662371753507562
51,1,17,batt_bel17,2.0600485786408482,0.0,2.0600485786408482
54,1,18,batt_bel18,0.8103228405849486,0.0,0.8103228405849486
57,1,19,batt_bel19,1.2684025334604674,0.0,1.2684025334604674
60,1,20,batt_bel20,0.2771810418433328,0.0,0.2771810418433328
63,1,21,batt_bel21,1.0393981667659447,0.0,1.0393981667659447
66,1,22,batt_bel22,0.7391361600955537,0.0,0.7391361600955537
69,1,23,batt_bel23,0.7140991077167747,0.0,0.7140991077167747
72,1,24,batt_bel24,0.41961218967669367,0.0,0.41961218967669367
75,1,25,batt_bel25,0.2994710083344414,0.0,0.2994710083344414
78,1,26,batt_bel26,0.8565303924546163,0.0,0.8565303924546163
81,1,27,batt_bel27,0.766606512213054,0.0,0.766606512213054
84,1,28,batt_bel28,0.5812993603745107,0.0,0.5812993603745107
87,1,29,batt_bel29,0.41384203006397696,0.0,0.41384203006397696
90,1,30,batt_bel30,0.3107665304974035,0.0,0.3107665304974035
93,1,31,batt_bel31,0.6328943043054595,0.0,0.6328943043054595
96,1,32,batt_bel32,0.9493156108133165,0.0,0.9493156108133165
99,1,33,batt_bel33,0.5612995246436214,0.0,0.5612995246436214
102,1,34,batt_bel34,0.46195267490601677,0.0,0.46195267490601677
105,1,35,batt_bel35,0.4734917885451139,0.0,0.4734917885451139
108,1,36,batt_bel36,0.2712411741908357,0.0,0.2712411741908357
111,1,37,batt_bel37,0.4746404496263474,0.0,0.4746404496263474
114,1,38,batt_bel38,0.9700510435454676,0.0,0.9700510435454676
117,1,39,batt_bel39,0.4446279952444886,0.0,0.4446279952444886
120,1,40,batt_bel40,0.3898787855344818,0.0,0.3898787855344818
123,1,41,batt_bel41,0.4311600352002088,0.0,0.4311600352002088
126,1,42,batt_bel42,0.48505037256004485,0.0,0.48505037256004485
129,1,43,batt_bel43,0.8526815068479627,0.0,0.8526815068479627
132,1,44,batt_bel44,0.6679151445003679,0.0,0.6679151445003679
135,1,45,batt_bel45,0.506228610881279,0.0,0.506228610881279
138,1,46,batt_bel46,0.6832728945530888,0.0,0.6832728945530888
141,1,47,batt_bel47,0.7064010563455952,0.0,0.7064010563455952
144,1,48,batt_bel48,0.6852052645849636,0.0,0.6852052645849636
147,1,49,batt_bel49,1.2491893176813986,0.0,1.2491893176813986
150,1,50,batt_bel50,1.4667305330941893,0.0,1.4667305330941893
153,1,51,batt_bel51,0.9200637666562365,0.0,0.9200637666562365
156,1,52,batt_bel52,1.0009151271340848,0.0,1.0009151271340848
159,1,53,batt_bel53,0.8584505138675145,0.0,0.8584505138675145
162,1,54,batt_bel54,0.7891928415184545,0.0,0.7891928415184545
165,1,55,batt_bel55,1.2895801806217047,0.0,1.2895801806217047
168,1,56,batt_bel56,0.9969977290293399,0.0,0.9969977290293399
171,1,57,batt_bel57,1.0817394319907505,0.0,1.0817394319907505
174,1,58,batt_bel58,1.547502242297127,0.0,1.547502242297127
177,1,59,batt_bel59,0.488880984763932,0.0,0.488880984763932
180,1,60,batt_bel60,2.640877516264811,0.0,2.640877516264811
183,1,61,batt_bel61,0.34838489242337256,0.0,0.34838489242337256
186,1,62,batt_bel62,1.7901074481232406,0.0,1.7901074481232406
189,1,63,batt_bel63,0.7064010563455954,0.0,0.7064010563455954
192,1,64,batt_bel64,0.6602268962223228,0.0,0.6602268962223228
195,1,65,batt_bel65,0.3233647746257333,0.0,0.3233647746257333
198,1,66,batt_bel66,2.7948004493784637,0.0,2.7948004493784637
201,1,67,batt_bel67,2.2558534917066058,0.0,2.2558534917066058
204,1,68,batt_bel68,1.1375739137524015,0.0,1.1375739137524015
207,1,69,batt_bel69,2.152012019199793,0.0,2.152012019199793
210,1,70,batt_bel70,0.3945757918615993,0.0,0.3945757918615993
213,1,71,batt_bel71,0.9277083938462832,0.0,0.9277083938462832
216,1,72,batt_bel72,0.8045663867470634,0.0,0.8045663867470634
219,1,73,batt_bel73,0.6159157578465233,0.0,0.6159157578465233
222,1,74,batt_bel74,4.444483438400358,0.0,4.444483438400358
225,1,75,batt_bel75,0.9547003330869495,0.0,0.9547003330869495
228,1,76,batt_bel76,0.42924234617562423,0.0,0.42924234617562423
231,1,77,batt_bel77,1.9671813262102054,0.0,1.9671813262102054
234,1,78,batt_bel78,0.623626189783176,0.0,0.623626189783176
237,1,79,batt_bel79,0.41382542671662986,0.0,0.41382542671662986
240,1,80,batt_bel80,0.6736772304063774,0.0,0.6736772304063774
243,1,81,batt_bel81,1.0451656971075374,0.0,1.0451656971075374
246,1,82,batt_kup82,4.170982418533444,0.0,4.170982418533444
249,1,83,batt_kup83,2.2904793601205524,0.0,2.2904793601205524
252,1,84,batt_kup84,3.0180435635577556,0.0,3.0180435635577556
255,1,85,batt_kup85,0.4619460968000225,0.0,0.4619460968000225
258,1,86,batt_kup86,2.9237277523279115,0.0,2.9237277523279115
261,1,87,batt_kup87,2.6735075707698472,0.0,2.6735075707698472
264,1,88,batt_kup88,1.2357046064142114,0.0,1.2357046064142114
267,1,89,batt_kup89,5.8898016269812326,0.0,5.8898016269812326
270,1,90,batt_kup90,1.8882021271403773,0.0,1.8882021271403773
273,1,91,batt_kup91,1.788114605340811,0.0,1.788114605340811
276,1,92,batt_kup92,1.5070972839273373,0.0,1.5070972839273373
279,1,93,batt_kup93,6.736703345682274,0.0,6.736703345682274
282,1,94,batt_kup94,0.9893335267471567,0.0,0.9893335267471567
285,1,95,batt_kup95,0.33106497934039225,0.0,0.33106497934039225
288,1,96,batt_kup96,0.33876754419605365,0.0,0.33876754419605365
291,1,97,batt_kup97,0.6313055092977579,0.0,0.6313055092977579
294,1,98,batt_kup98,0.32721615700448337,0.0,0.32721615700448337
297,1,99,batt_kup99,0.3483832060458268,0.0,0.3483832060458268
300,1,100,batt_kup100,1.4050368724371305,0.0,1.4050368724371305
303,1,101,batt_kup101,0.7506817410131972,0.0,0.7506817410131972
306,1,102,batt_kup102,0.9162093564105376,0.0,0.9162093564105376
309,1,103,batt_kup103,1.1145024088760382,0.0,1.1145024088760382
312,1,104,batt_kup104,1.3088731832099656,0.0,1.3088731832099656
315,1,105,batt_kup105,0.750697094778272,0.0,0.750697094778272
318,1,106,batt_kup106,0.4908211417603603,0.0,0.4908211417603603
