ID,Zone,Village,Resource,Total_Storage_MWh,Start_Storage_MWh,Change_in_Storage_MWh
3,1,1,batt_bel1,1.2063180749082547,0.0,1.2063180749082547
6,1,2,batt_bel2,5.285497078232326,0.0,5.285497078232326
9,1,3,batt_bel3,3.6631816574289386,0.0,3.6631816574289386
12,1,4,batt_bel4,2.4310759018416626,0.0,2.4310759018416626
15,1,5,batt_bel5,1.9059322045974976,0.0,1.9059322045974976
18,1,6,batt_bel6,2.4060022392791027,0.0,2.4060022392791027
21,1,7,batt_bel7,1.5600483181073328,0.0,1.5600483181073328
24,1,8,batt_bel8,4.428868233925376,0.0,4.428868233925376
27,1,9,batt_bel9,2.972961100019246,0.0,2.972961100019246
30,1,10,batt_bel10,2.4791456574845516,0.0,2.4791456574845516
33,1,11,batt_bel11,2.8723197158321025,0.0,2.8723197158321025
36,1,12,batt_bel12,1.774620535217742,0.0,1.774620535217742
39,1,13,batt_bel13,1.8225498653173782,0.0,1.8225498653173782
42,1,14,batt_bel14,1.283843180963925,0.0,1.283843180963925
45,1,15,batt_bel15,1.1932467101223212,0.0,1.1932467101223212
48,1,16,batt_bel16,3.0662371753507554,0.0,3.0662371753507554
51,1,17,batt_bel17,1.524087345088105,0.0,1.524087345088105
54,1,18,batt_bel18,0.8103228405849486,0.0,0.8103228405849486
57,1,19,batt_bel19,0.8832528232072941,0.0,0.8832528232072941
60,1,20,batt_bel20,0.2771810418433327,0.0,0.2771810418433327
63,1,21,batt_bel21,0.7237987921624556,0.0,0.7237987921624556
66,1,22,batt_bel22,0.7391361600955536,0.0,0.7391361600955536
69,1,23,batt_bel23,0.4972768263960044,0.0,0.4972768263960044
72,1,24,batt_bel24,0.41961218967669367,0.0,0.41961218967669367
75,1,25,batt_bel25,0.2130992040596461,0.0,0.2130992040596461
78,1,26,batt_bel26,0.8565303924546162,0.0,0.8565303924546162
81,1,27,batt_bel27,0.5455319502242281,0.0,0.5455319502242281
84,1,28,batt_bel28,0.5812993603745107,0.0,0.5812993603745107
87,1,29,batt_bel29,0.2881886545339019,0.0,0.2881886545339019
90,1,30,batt_bel30,0.31088794993254365,0.0,0.31088794993254365
93,1,31,batt_bel31,0.4503792406864815,0.0,0.4503792406864815
96,1,32,batt_bel32,0.9496430810702206,0.0,0.9496430810702206
99,1,33,batt_bel33,0.39942685874732375,0.0,0.39942685874732375
102,1,34,batt_bel34,0.46195267490601677,0.0,0.46195267490601677
105,1,35,batt_bel35,0.32972610829954985,0.0,0.32972610829954985
108,1,36,batt_bel36,0.2712411741908356,0.0,0.2712411741908356
111,1,37,batt_bel37,0.33775102830023146,0.0,0.33775102830023146
114,1,38,batt_bel38,0.9703856795843719,0.0,0.9703856795843719
117,1,39,batt_bel39,0.3096168305714381,0.0,0.3096168305714381
120,1,40,batt_bel40,0.39001324772780194,0.0,0.39001324772780194
123,1,41,batt_bel41,0.3002408700549571,0.0,0.3002408700549571
126,1,42,batt_bel42,0.48505037256004474,0.0,0.48505037256004474
129,1,43,batt_bel43,0.5937762680158598,0.0,0.5937762680158598
132,1,44,batt_bel44,0.6679151445003682,0.0,0.6679151445003682
135,1,45,batt_bel45,0.35252672137621194,0.0,0.35252672137621194
138,1,46,batt_bel46,0.6832728945530889,0.0,0.6832728945530889
141,1,47,batt_bel47,0.4919141359037993,0.0,0.4919141359037993
144,1,48,batt_bel48,0.6852052645849636,0.0,0.6852052645849636
147,1,49,batt_bel49,0.8698827833412864,0.0,0.8698827833412864
150,1,50,batt_bel50,1.4667305330941895,0.0,1.4667305330941895
153,1,51,batt_bel51,0.640695437678503,0.0,0.640695437678503
156,1,52,batt_bel52,1.0009151271340848,0.0,1.0009151271340848
159,1,53,batt_bel53,0.5977845418831251,0.0,0.5977845418831251
162,1,54,batt_bel54,0.7891928415184545,0.0,0.7891928415184545
165,1,55,batt_bel55,0.897999803205954,0.0,0.897999803205954
168,1,56,batt_bel56,0.99699772902934,0.0,0.99699772902934
