ID,Zone,Total_Import_MWh,Peak_Import_MW
572,1,0.07702988782110581,0.00852000000000018
573,1,0.0,0.0
574,1,0.027125025204787444,0.0027759999999998272
575,1,0.0,0.0
576,1,0.06324584183774297,0.00796700000000028
577,1,0.0,0.0
578,1,0.06260326111999906,0.00512700000000006
579,1,0.0,0.0
580,1,0.0,0.0
581,1,0.0,0.0
582,1,0.0,0.0
583,1,0.0,0.0
584,1,0.0034177499999985816,0.0019530000000000103
585,1,0.0,0.0
586,1,0.009071808836612238,0.009071808836612238
587,1,0.0,0.0
588,1,0.0,0.0
589,1,0.0,0.0
590,1,0.0,0.0
591,1,0.0,0.0
592,1,0.0,0.0
593,1,0.0,0.0
594,1,0.0,0.0
595,1,0.0,0.0
596,1,0.0011660000000000004,0.0011660000000000004
597,1,0.0,0.0
598,1,0.0007139999999999924,0.0007139999999999924
599,1,0.0,0.0
600,1,0.0,0.0
601,1,0.0,0.0
602,1,0.004672825569211003,0.004672825569211003
603,1,0.0,0.0
604,1,0.0,0.0
605,1,0.0,0.0
606,1,0.0009289999999999854,0.0009289999999999854
607,1,0.0,0.0
608,1,0.0011083333333329459,0.0006333333333329497
609,1,0.0,0.0
610,1,0.0,0.0
611,1,0.0,0.0
612,1,0.0,0.0
613,1,0.0,0.0
614,1,0.004181350954314322,0.004181350954314322
615,1,0.0,0.0
616,1,0.0,0.0
617,1,0.0,0.0
618,1,0.0,0.0
619,1,0.0,0.0
620,1,0.0,0.0
621,1,0.0,0.0
622,1,0.009211999999998916,0.0065799999999989756
623,1,0.0,0.0
624,1,0.0036504999999973885,0.0026074999999974
625,1,0.0,0.0
626,1,0.0,0.0
627,1,0.0,0.0
628,1,0.0026600000000000373,0.0019000000000000405
629,1,0.0,0.0
630,1,0.0,0.0
631,1,0.0,0.0
632,1,0.008622246691867619,0.008622246691867619
633,1,0.0,0.0
634,1,0.04011314744554881,0.0038902222222222975
635,1,0.0,0.0
636,1,0.030287746901908323,0.003938444444444406
637,1,0.0,0.0
638,1,0.00041299999999983136,0.0003539999999999932
639,1,0.0,0.0
640,1,0.00037299999999999833,0.00037299999999999833
641,1,0.0,0.0
642,1,0.0,0.0
643,1,0.0,0.0
644,1,0.014219983931946036,0.0020314262759925095
645,1,0.0,0.0
646,1,0.011165529300570107,0.0015950756143673119
647,1,0.0,0.0
648,1,0.0,0.0
649,1,0.0,0.0
650,1,0.0,0.0
651,1,0.0,0.0
652,1,0.0,0.0
653,1,0.0,0.0
654,1,0.0,0.0
655,1,0.0,0.0
656,1,0.0,0.0
657,1,0.0,0.0
658,1,0.0,0.0
659,1,0.0,0.0
660,1,0.0,0.0
