Segment,Zone,NSE_Price,Max_NSE_MW,Total_NSE_MWh,NSE_Percent_of_Demand
1,1,2000.0,1.6774901755600114e-14,1.2257597240348927e-11,Inf
1,2,2000.0,1.450800953280137e-13,1.4486659964762586e-10,Inf
1,3,2000.0,1.5702425607483593e-14,1.3079202751329637e-11,Inf
1,4,2000.0,1.301367729570669e-13,1.3318660334016145e-10,Inf
1,5,2000.0,1.722315890886283e-14,1.3230958699630951e-11,Inf
1,6,2000.0,1.298634094022736e-13,1.3299838121203081e-10,Inf
1,7,2000.0,1.7215541950667147e-14,1.284867780944319e-11,Inf
1,8,2000.0,1.4365077958310136e-13,1.4265737830941104e-10,Inf
1,9,2000.0,1.594697855368829e-14,1.3372201148064889e-11,Inf
1,10,2000.0,1.3056521617616995e-13,1.3363584960196856e-10,Inf
1,11,2000.0,1.6073537307886468e-14,1.3396598864618149e-11,Inf
1,12,2000.0,1.238409253605814e-13,1.2742030236801321e-10,Inf
1,13,2000.0,1.6938307696489443e-14,1.265979267285489e-11,Inf
1,14,2000.0,1.209022412631868e-13,1.2431405280884444e-10,Inf
1,15,2000.0,1.6480201956118228e-14,1.1910379025594163e-11,Inf
1,16,2000.0,1.3567699291431066e-13,1.3738629806861706e-10,Inf
1,17,2000.0,1.6904727930729547e-14,1.2344973088689815e-11,Inf
1,18,2000.0,1.1366539000565773e-13,1.1309360356038567e-10,Inf
1,19,2000.0,1.589874075818531e-14,1.1690438816755857e-11,Inf
1,20,2000.0,8.965173946300251e-14,9.036909953287625e-11,Inf
1,21,2000.0,1.5271240489419124e-14,1.134885938837501e-11,Inf
1,22,2000.0,1.0889211116448617e-13,1.0976275333762572e-10,Inf
1,23,2000.0,1.4172476699456245e-14,1.0761726974479299e-11,Inf
1,24,2000.0,9.443000341701327e-14,9.393701937606936e-11,Inf
1,25,2000.0,1.2813523551522573e-14,9.742948950948706e-12,Inf
1,26,2000.0,1.1463264039710255e-13,1.1498468522917919e-10,Inf
1,27,2000.0,1.4432304430555142e-14,1.09163519040467e-11,Inf
1,28,2000.0,1.0251162820031318e-13,1.0133341812532538e-10,Inf
1,29,2000.0,1.325544001389001e-14,1.0100220594248717e-11,Inf
1,30,2000.0,9.054881473666525e-14,9.118798324428009e-11,Inf
1,31,2000.0,1.3977928512696708e-14,1.0655728375953518e-11,Inf
1,32,2000.0,1.1669460672404155e-13,1.1845515454656482e-10,Inf
1,33,2000.0,1.375541083564426e-14,1.0482166064596882e-11,Inf
1,34,2000.0,9.647116290788704e-14,9.5518732776091e-11,Inf
1,35,2000.0,1.3471818185784852e-14,1.0282020384357994e-11,Inf
1,36,2000.0,8.960208308125765e-14,9.037307085289852e-11,Inf
1,37,2000.0,1.3497399979971169e-14,1.0285240451087944e-11,Inf
1,38,2000.0,1.1706016394337605e-13,1.1897552468296905e-10,Inf
1,39,2000.0,1.3360673747361626e-14,1.0186217248125542e-11,Inf
1,40,2000.0,9.324597931301052e-14,9.316566268865572e-11,Inf
1,41,2000.0,1.3332126608415865e-14,1.0173607572411307e-11,Inf
1,42,2000.0,9.762877242927488e-14,9.644943181302365e-11,Inf
1,43,2000.0,1.4669105281191835e-14,1.1040462082551762e-11,Inf
1,44,2000.0,1.0608551887154955e-13,1.0609764602103506e-10,Inf
1,45,2000.0,1.3571902814397012e-14,1.0358996686632667e-11,Inf
1,46,2000.0,1.0636735196415184e-13,1.0692886336038743e-10,Inf
1,47,2000.0,6.5019595016301666e-15,4.670498246546311e-12,Inf
1,48,2000.0,1.0640260323256803e-13,1.070253009665787e-10,Inf
1,49,2000.0,1.5832440611694064e-14,1.1663684619499493e-11,Inf
1,50,2000.0,1.2268688430118996e-13,1.267608296655571e-10,Inf
1,51,2000.0,1.489133250723972e-14,1.1155403214083525e-11,Inf
1,52,2000.0,1.1731468674957423e-13,1.1902504262783533e-10,Inf
1,53,2000.0,1.4671941124234788e-14,1.102479522385892e-11,Inf
1,54,2000.0,1.1236797578895047e-13,1.1213858764928938e-10,Inf
1,55,2000.0,1.5938990063924515e-14,1.1718993611554369e-11,Inf
1,56,2000.0,1.1715800790213024e-13,1.1903780673075128e-10,Inf
1,57,2000.0,1.5408398704288736e-14,1.1416154901102423e-11,Inf
1,58,2000.0,1.2264002728402983e-13,1.2668092795714808e-10,Inf
1,59,2000.0,1.3517430144978445e-14,1.0318714218002717e-11,Inf
1,60,2000.0,1.320958764572655e-13,1.3491213554720009e-10,Inf
1,61,2000.0,1.3010436690039943e-14,9.908755242904385e-12,Inf
1,62,2000.0,1.2397686734091929e-13,1.2750380221901293e-10,Inf
1,63,2000.0,6.5019595016301666e-15,4.670498246546311e-12,Inf
1,64,2000.0,1.0590228213079517e-13,1.056680814764667e-10,Inf
1,65,2000.0,1.288026655617383e-14,9.793817614253801e-12,Inf
1,66,2000.0,1.334627133570953e-13,1.3596687303985635e-10,Inf
1,67,2000.0,1.7210696919905025e-14,1.2831465287427848e-11,Inf
1,68,2000.0,1.193687072758639e-13,1.2176315033250068e-10,Inf
