ID,Zone,Village,Resource,Total_Storage_MWh,Start_Storage_MWh,Change_in_Storage_MWh
3,1,1,batt_bel1,1.206318074891023,0.0,1.206318074891023
6,1,2,batt_bel2,5.28549708040833,0.0,5.28549708040833
9,1,3,batt_bel3,3.6631816574125797,0.0,3.6631816574125797
12,1,4,batt_bel4,2.431075907732387,0.0,2.431075907732387
15,1,5,batt_bel5,1.9059322045808238,0.0,1.9059322045808238
18,1,6,batt_bel6,2.406002244282664,0.0,2.406002244282664
21,1,7,batt_bel7,1.5600483180907867,0.0,1.5600483180907867
24,1,8,batt_bel8,4.428868237573524,0.0,4.428868237573524
27,1,9,batt_bel9,2.9729611000023524,0.0,2.9729611000023524
30,1,10,batt_bel10,2.479145662682531,0.0,2.479145662682531
33,1,11,batt_bel11,2.87231971581559,0.0,2.87231971581559
36,1,12,batt_bel12,1.7746205393611665,0.0,1.7746205393611665
39,1,13,batt_bel13,1.8242578004966779,0.0,1.8242578004966779
42,1,14,batt_bel14,1.2838431832866068,0.0,1.2838431832866068
45,1,15,batt_bel15,1.194368441754015,0.0,1.194368441754015
48,1,16,batt_bel16,3.0662371798647823,0.0,3.0662371798647823
51,1,17,batt_bel17,1.5255136563468215,0.0,1.5255136563468215
54,1,18,batt_bel18,0.8103228424603176,0.0,0.8103228424603176
57,1,19,batt_bel19,0.883252823189384,0.0,0.883252823189384
60,1,20,batt_bel20,0.27718104185024467,0.0,0.27718104185024467
63,1,21,batt_bel21,0.7237987921450381,0.0,0.7237987921450381
66,1,22,batt_bel22,0.7391361578236808,0.0,0.7391361578236808
69,1,23,batt_bel23,0.4972768263793365,0.0,0.4972768263793365
72,1,24,batt_bel24,0.419612190370705,0.0,0.419612190370705
75,1,25,batt_bel25,0.21309920404374885,0.0,0.21309920404374885
78,1,26,batt_bel26,0.8565303928412076,0.0,0.8565303928412076
81,1,27,batt_bel27,0.545531950205774,0.0,0.545531950205774
84,1,28,batt_bel28,0.5812993591865304,0.0,0.5812993591865304
87,1,29,batt_bel29,0.2881886545178955,0.0,0.2881886545178955
90,1,30,batt_bel30,0.3107666251488182,0.0,0.3107666251488182
93,1,31,batt_bel31,0.45037924066750984,0.0,0.45037924066750984
96,1,32,batt_bel32,0.9493156492603345,0.0,0.9493156492603345
99,1,33,batt_bel33,0.39942685872973466,0.0,0.39942685872973466
102,1,34,batt_bel34,0.461952674946161,0.0,0.461952674946161
105,1,35,batt_bel35,0.32972610828271576,0.0,0.32972610828271576
108,1,36,batt_bel36,0.27124120306962146,0.0,0.27124120306962146
111,1,37,batt_bel37,0.33775102828308284,0.0,0.33775102828308284
114,1,38,batt_bel38,0.9700510811364178,0.0,0.9700510811364178
117,1,39,batt_bel39,0.30961683055552136,0.0,0.30961683055552136
120,1,40,batt_bel40,0.3898788660627792,0.0,0.3898788660627792
123,1,41,batt_bel41,0.3002408700383811,0.0,0.3002408700383811
126,1,42,batt_bel42,0.4850503732392933,0.0,0.4850503732392933
129,1,43,batt_bel43,0.593776267998446,0.0,0.593776267998446
132,1,44,batt_bel44,0.6679151447826377,0.0,0.6679151447826377
135,1,45,batt_bel45,0.35252672135915053,0.0,0.35252672135915053
138,1,46,batt_bel46,0.6832728957851567,0.0,0.6832728957851567
141,1,47,batt_bel47,0.4919141358978254,0.0,0.4919141358978254
144,1,48,batt_bel48,0.6852052658853898,0.0,0.6852052658853898
147,1,49,batt_bel49,0.8698827833252509,0.0,0.8698827833252509
150,1,50,batt_bel50,1.4667305367054153,0.0,1.4667305367054153
153,1,51,batt_bel51,0.6406954376615038,0.0,0.6406954376615038
156,1,52,batt_bel52,1.0009151290116143,0.0,1.0009151290116143
159,1,53,batt_bel53,0.5977845418666416,0.0,0.5977845418666416
162,1,54,batt_bel54,0.7891928432635509,0.0,0.7891928432635509
165,1,55,batt_bel55,0.8979998031890738,0.0,0.8979998031890738
168,1,56,batt_bel56,0.9969977299718422,0.0,0.9969977299718422
171,1,57,batt_bel57,0.7532777602275702,0.0,0.7532777602275702
174,1,58,batt_bel58,1.547502245328024,0.0,1.547502245328024
177,1,59,batt_bel59,0.34042529855949966,0.0,0.34042529855949966
180,1,60,batt_bel60,2.640877521447752,0.0,2.640877521447752
183,1,61,batt_bel61,0.2426046292229651,0.0,0.2426046292229651
186,1,62,batt_bel62,1.7901074523760594,0.0,1.7901074523760594
189,1,63,batt_bel63,0.4919141358978254,0.0,0.4919141358978254
192,1,64,batt_bel64,0.6602268976424338,0.0,0.6602268976424338
195,1,65,batt_bel65,0.22517984809254998,0.0,0.22517984809254998
198,1,66,batt_bel66,2.7948004541529476,0.0,2.7948004541529476
201,1,67,batt_bel67,1.570883681076441,0.0,1.570883681076441
204,1,68,batt_bel68,1.1375739164251157,0.0,1.1375739164251157
207,1,69,batt_bel69,1.4986126287250676,0.0,1.4986126287250676
210,1,70,batt_bel70,0.39457579179449453,0.0,0.39457579179449453
213,1,71,batt_bel71,0.6460038356641259,0.0,0.6460038356641259
216,1,72,batt_bel72,0.8045663880979927,0.0,0.8045663880979927
219,1,73,batt_bel73,0.4289013621946388,0.0,0.4289013621946388
222,1,74,batt_bel74,4.4444834415192425,0.0,4.4444834415192425
225,1,75,batt_bel75,0.6648175810891935,0.0,0.6648175810891935
228,1,76,batt_bel76,0.42924234689778806,0.0,0.42924234689778806
231,1,77,batt_bel77,1.369880763204077,0.0,1.369880763204077
234,1,78,batt_bel78,0.6236261900132255,0.0,0.6236261900132255
237,1,79,batt_bel79,0.2881724042144816,0.0,0.2881724042144816
