Segment,Zone,NSE_Price,Max_NSE_MW,Total_NSE_MWh,NSE_Percent_of_Demand
1,1,2000.0,2.883418836725766e-16,2.821235625725823e-13,Inf
1,2,2000.0,4.136800864729777e-16,3.7171109121104056e-13,Inf
1,3,2000.0,4.132151432207425e-16,3.7130540336353814e-13,Inf
1,4,2000.0,3.2985366451939178e-16,3.0683971240006046e-13,Inf
1,5,2000.0,3.406680732457047e-16,3.1663247917104203e-13,Inf
1,6,2000.0,3.174254326444102e-16,3.012875399814969e-13,Inf
1,7,2000.0,3.2258396560928134e-16,3.003077951626983e-13,Inf
1,8,2000.0,3.927973237479161e-16,3.5646421379973933e-13,Inf
1,9,2000.0,3.8823299496597707e-16,3.532422316806924e-13,Inf
1,10,2000.0,3.220742829257693e-16,3.000915338128544e-13,Inf
1,11,2000.0,3.83959516118313e-16,3.504189890612457e-13,Inf
1,12,2000.0,3.019849109710248e-16,2.840581518224744e-13,Inf
1,13,2000.0,3.165827507232186e-16,3.103927519195113e-13,Inf
1,14,2000.0,2.679390430663847e-16,2.6703528824838716e-13,Inf
1,15,2000.0,2.743419288786193e-16,2.820463292512377e-13,Inf
1,16,2000.0,3.524209181076609e-16,3.263051018067505e-13,Inf
1,17,2000.0,3.000070142699649e-16,2.9748240063005423e-13,Inf
1,18,2000.0,2.505862500777492e-16,2.459966379625776e-13,Inf
1,19,2000.0,2.728744808187067e-16,2.638489570507079e-13,Inf
1,20,2000.0,2.1350512376758064e-16,2.079424659022877e-13,Inf
1,21,2000.0,2.6004273279247973e-16,2.5527310580438165e-13,Inf
1,22,2000.0,2.4730971602377236e-16,2.4247131630628964e-13,Inf
1,23,2000.0,2.5313097983613156e-16,2.4335085365779065e-13,Inf
1,24,2000.0,2.266776782666718e-16,2.2208798577070506e-13,Inf
1,25,2000.0,2.1622320836043268e-16,2.1149552725563242e-13,Inf
1,26,2000.0,2.508148094870974e-16,2.478959841422902e-13,Inf
1,27,2000.0,2.4882095820080055e-16,2.4477520236488095e-13,Inf
1,28,2000.0,2.367872339501801e-16,2.334685580139323e-13,Inf
1,29,2000.0,2.3361233531270746e-16,2.229554133576456e-13,Inf
1,30,2000.0,2.1709799173756227e-16,2.1300641592389283e-13,Inf
1,31,2000.0,2.4055611605528055e-16,2.374388814790752e-13,Inf
1,32,2000.0,2.5626233260437648e-16,2.524244708704636e-13,Inf
1,33,2000.0,2.400385275018843e-16,2.3416451941016875e-13,Inf
1,34,2000.0,2.295155202335295e-16,2.2546998210559958e-13,Inf
1,35,2000.0,2.298678346286409e-16,2.2625164255003998e-13,Inf
1,36,2000.0,2.1339038506538792e-16,2.0811814595010443e-13,Inf
1,37,2000.0,2.389510189331921e-16,2.290637885841947e-13,Inf
1,38,2000.0,2.574028222947657e-16,2.5338468118436965e-13,Inf
1,39,2000.0,2.3685664694921325e-16,2.2564250067982555e-13,Inf
1,40,2000.0,2.3177690617744487e-16,2.2174977137952145e-13,Inf
1,41,2000.0,2.2717207718747157e-16,2.2306778229562032e-13,Inf
1,42,2000.0,2.399117705388891e-16,2.289029542577294e-13,Inf
1,43,2000.0,2.513329866477075e-16,2.480162560427663e-13,Inf
1,44,2000.0,2.4245922318687474e-16,2.384631061760086e-13,Inf
1,45,2000.0,2.320432439177427e-16,2.2858051678358036e-13,Inf
1,46,2000.0,2.4453450729416926e-16,2.3960542596008246e-13,Inf
1,47,2000.0,1.304504849571541e-16,1.2891365154617138e-13,Inf
1,48,2000.0,2.4492042632727185e-16,2.397870510847431e-13,Inf
1,49,2000.0,2.7112397204058085e-16,2.639160844413381e-13,Inf
1,50,2000.0,2.8434956899907835e-16,2.7246295612245936e-13,Inf
1,51,2000.0,2.5337044958176126e-16,2.5085953187221495e-13,Inf
1,52,2000.0,2.618575413812074e-16,2.560234041030383e-13,Inf
1,53,2000.0,2.5774185057586667e-16,2.504124847328698e-13,Inf
1,54,2000.0,2.5077318262377834e-16,2.45510760271471e-13,Inf
1,55,2000.0,2.733242443434077e-16,2.653184500599964e-13,Inf
1,56,2000.0,2.6071648661054145e-16,2.5649654568447484e-13,Inf
1,57,2000.0,2.6271303622805303e-16,2.5675947798123204e-13,Inf
1,58,2000.0,2.8268662962319317e-16,2.764506347229961e-13,Inf
1,59,2000.0,2.3199213481396575e-16,2.275704853684433e-13,Inf
1,60,2000.0,3.3949235432117167e-16,3.138002938905948e-13,Inf
1,61,2000.0,2.2078528104299584e-16,2.1581729343488153e-13,Inf
1,62,2000.0,3.0275270862819055e-16,2.845527972550151e-13,Inf
1,63,2000.0,1.304504849571541e-16,1.2891365154617138e-13,Inf
1,64,2000.0,2.440128235913501e-16,2.3851379392825245e-13,Inf
1,65,2000.0,2.23352016104072e-16,2.1371909098175908e-13,Inf
1,66,2000.0,3.423938436737565e-16,3.184047507933656e-13,Inf
1,67,2000.0,3.0986377253103653e-16,2.946737950904059e-13,Inf
1,68,2000.0,2.6526045699333536e-16,2.5932216734473983e-13,Inf
1,69,2000.0,3.192989456925675e-16,2.9724121508324153e-13,Inf
1,70,2000.0,2.3288076545834456e-16,2.2131840755865044e-13,Inf
1,71,2000.0,2.5362067910695605e-16,2.513003274463981e-13,Inf
1,72,2000.0,2.5563745877344437e-16,2.480318304391562e-13,Inf
1,73,2000.0,2.4041047844221685e-16,2.359647344726444e-13,Inf
1,74,2000.0,3.9315064214813724e-16,3.5671170197645566e-13,Inf
1,75,2000.0,2.5970768683481006e-16,2.54687936856547e-13,Inf
1,76,2000.0,2.272830333263372e-16,2.2287467479176244e-13,Inf
1,77,2000.0,3.1412526057283243e-16,2.8790227621656414e-13,Inf
1,78,2000.0,2.401859322439531e-16,2.3612101305723674e-13,Inf
1,79,2000.0,2.3739372539295905e-16,2.2301994467113103e-13,Inf
1,80,2000.0,2.433692666495515e-16,2.385701155000399e-13,Inf
1,81,2000.0,2.599003696584367e-16,2.5582237306481714e-13,Inf
1,82,2000.0,3.850073911399387e-16,3.518467349367081e-13,Inf
1,83,2000.0,3.258822293355031e-16,3.0174758333093814e-13,Inf
1,84,2000.0,3.510074264298268e-16,3.249212326354655e-13,Inf
1,85,2000.0,2.3005462054484e-16,2.2520551162862903e-13,Inf
1,86,2000.0,3.4815527374723345e-16,3.222146425214995e-13,Inf
1,87,2000.0,3.400594801466622e-16,3.146412110843537e-13,Inf
1,88,2000.0,2.7110037321374117e-16,2.6256343714054894e-13,Inf
1,89,2000.0,4.2595562592561736e-16,3.8216813351127855e-13,Inf
1,90,2000.0,3.0848050377409333e-16,2.8726496104019865e-13,Inf
1,91,2000.0,3.0378366890549465e-16,2.837647149558178e-13,Inf
1,92,2000.0,2.8785128557303083e-16,2.732267046446663e-13,Inf
1,93,2000.0,4.4159643618119907e-16,3.9464811969676886e-13,Inf
1,94,2000.0,2.5697800527697937e-16,2.531801734686983e-13,Inf
1,95,2000.0,2.1982606334696109e-16,2.1351008565520287e-13,Inf
1,96,2000.0,2.299017712498457e-16,2.1478834334566452e-13,Inf
1,97,2000.0,2.528697599819885e-16,2.3792484417520035e-13,Inf
1,98,2000.0,2.1915834700230302e-16,2.1312499822748575e-13,Inf
1,99,2000.0,2.2150114018568123e-16,2.1531033273247975e-13,Inf
1,100,2000.0,2.802632366905421e-16,2.6982530299606134e-13,Inf
1,101,2000.0,2.4939834010011904e-16,2.432316888409132e-13,Inf
1,102,2000.0,2.596483329697352e-16,2.526123529014465e-13,Inf
1,103,2000.0,2.6388180833298893e-16,2.5831980962371186e-13,Inf
1,104,2000.0,2.7413624311619783e-16,2.6599815937892237e-13,Inf
1,105,2000.0,2.5510801747402703e-16,2.447747967552027e-13,Inf
1,106,2000.0,2.325011010363837e-16,2.273251812838625e-13,Inf
1,107,2000.0,2.3341626426747524e-16,2.2805543691517445e-13,Inf
1,108,2000.0,2.468769952033466e-16,2.4111357893280933e-13,Inf
1,109,2000.0,2.514712276048675e-16,2.468485754354938e-13,Inf
1,110,2000.0,2.4898672998688275e-16,2.346401970026532e-13,Inf
1,111,2000.0,2.605743542471666e-16,2.5603154192054377e-13,Inf
1,112,2000.0,2.6380725475955553e-16,2.5747390661898424e-13,Inf
1,113,2000.0,2.762895786234461e-16,2.7546395973370415e-13,Inf
1,114,2000.0,2.564764576654865e-16,2.468893025913896e-13,Inf
1,115,2000.0,2.5093609479791435e-16,2.4576655855396337e-13,Inf
1,116,2000.0,2.5119323361700954e-16,2.46566771979205e-13,Inf
1,117,2000.0,2.6885457715893597e-16,2.617349741823981e-13,Inf
1,118,2000.0,2.5228756212380017e-16,2.4819162197917003e-13,Inf
1,119,2000.0,2.483293405355166e-16,2.418167722948666e-13,Inf
1,120,2000.0,2.5184855004950477e-16,2.482084894473294e-13,Inf
1,121,2000.0,2.6466773901309007e-16,2.63373128615205e-13,Inf
1,122,2000.0,2.5839794590599175e-16,2.5174312267184865e-13,Inf
1,123,2000.0,2.5675653494603687e-16,2.4931086276715406e-13,Inf
1,124,2000.0,2.522279575808935e-16,2.488390995679443e-13,Inf
1,125,2000.0,2.7022270088762253e-16,2.6208609003265064e-13,Inf
1,126,2000.0,2.5371330103530986e-16,2.5111073230396244e-13,Inf
1,127,2000.0,2.8269999387345973e-16,2.7787469024889014e-13,Inf
1,128,2000.0,2.7683554427448856e-16,2.70645566541126e-13,Inf
1,129,2000.0,2.6593390096359522e-16,2.643776866509104e-13,Inf
1,130,2000.0,2.56444864503755e-16,2.521980888105984e-13,Inf
1,131,2000.0,2.6550850934184794e-16,2.579710755347283e-13,Inf
1,132,2000.0,2.5294679691519895e-16,2.5038764663081714e-13,Inf
1,133,2000.0,2.487873103005161e-16,2.4338599849402444e-13,Inf
1,134,2000.0,2.686981765337193e-16,2.6137941543224835e-13,Inf
1,135,2000.0,3.039402489936138e-16,2.8266481451511585e-13,Inf
1,136,2000.0,2.5232429098858327e-16,2.4834018513091246e-13,Inf
1,137,2000.0,2.2390422047243813e-16,2.1869654636794986e-13,Inf
1,138,2000.0,2.2203796749945798e-16,2.1773903770069256e-13,Inf
1,139,2000.0,2.7104830480744363e-16,2.6679960423487313e-13,Inf
1,140,2000.0,2.1034789748455326e-16,2.0412468578058993e-13,Inf
1,141,2000.0,2.3429366077788256e-16,2.317989902092436e-13,Inf
1,142,2000.0,2.46760599155182e-16,2.4342695675180077e-13,Inf
1,143,2000.0,2.572979284018333e-16,2.5258732008064583e-13,Inf
1,144,2000.0,2.4823358640886203e-16,2.4264650247984863e-13,Inf
1,145,2000.0,2.5169399147049197e-16,2.4436080074170973e-13,Inf
1,146,2000.0,2.429846431741489e-16,2.381792466198912e-13,Inf
1,147,2000.0,2.14817507876139e-16,2.093326205418675e-13,Inf
1,148,2000.0,2.1309365007813175e-16,2.0755802689586716e-13,Inf
1,149,2000.0,2.3417139824712835e-16,2.314386005314624e-13,Inf
1,150,2000.0,2.6049606657456174e-16,2.557966165385419e-13,Inf
1,151,2000.0,2.43538860040255e-16,2.3743071406485824e-13,Inf
1,152,2000.0,2.5365824224553653e-16,2.511361842136832e-13,Inf
1,153,2000.0,2.2457057537408683e-16,2.193843196211317e-13,Inf
1,154,2000.0,2.419277074394987e-16,2.3705104562292914e-13,Inf
1,155,2000.0,2.490245705394446e-16,2.44802426756357e-13,Inf
1,156,2000.0,2.3129987665015783e-16,2.282730824529712e-13,Inf
1,157,2000.0,2.5738624281531906e-16,2.5361064571450204e-13,Inf
1,158,2000.0,2.413319163744276e-16,2.3094486824836333e-13,Inf
1,159,2000.0,2.283902303752427e-16,2.244899131305154e-13,Inf
1,160,2000.0,2.6336779269017167e-16,2.5694002664003554e-13,Inf
