ID,Zone,Connected,Total_Import_MWh,Total_Export_MWh
1,1,1,0.02046799999999996,0.0
2,1,1,0.0,0.0
3,1,1,0.0,0.0
4,1,1,0.0,0.0
5,1,1,0.0,0.0
6,1,1,0.009676630479336944,0.0
7,1,1,0.0,0.0
8,1,1,0.0,0.0
9,1,1,0.0,0.0
10,1,1,0.0,0.0
11,1,1,0.0,0.0
12,1,1,0.0,0.0
13,1,1,0.0,1.6147713677920257
14,1,1,0.0,0.0
15,1,1,0.06157199999999263,1.055922796121655
16,1,1,0.0,0.0
17,1,1,0.0,1.3503290338011813
18,1,1,0.019792112000002263,0.0
19,1,1,0.0,0.0
20,1,1,0.0,0.0
21,1,1,0.0,0.0
22,1,1,0.0,0.0
23,1,1,0.0,0.0
24,1,1,0.0,0.0
25,1,1,0.02792773951999941,0.0
26,1,1,0.0,0.0
27,1,1,0.11565174496000052,0.0
28,1,1,0.014180314240000304,0.0
29,1,1,0.01521862015999844,0.0
30,1,1,0.016001999999999877,0.0
31,1,1,0.058455485760003076,0.0
32,1,1,0.11152217546666757,0.0
33,1,1,0.09967511972274357,0.0
34,1,1,0.0018782498133333853,0.0
35,1,1,0.0,0.0
36,1,1,0.00045969951999934484,0.0
37,1,1,0.01896776895999889,0.0
38,1,1,0.10583603615999745,0.0
39,1,1,0.0,0.0
40,1,1,0.0645878342785133,0.0
41,1,1,0.0,0.0
42,1,1,0.0,0.0
43,1,1,0.027829828266669642,0.0
44,1,1,0.0027213190400002807,0.0
45,1,1,0.0,0.0
46,1,1,0.0,0.0
47,1,1,0.00287615605333328,0.0
48,1,1,0.0,0.0
49,1,1,0.0,0.0
50,1,1,0.0,0.0
51,1,1,0.0,0.0
52,1,1,0.0,0.0
53,1,1,0.003490494506666681,0.0
54,1,1,0.003210264746666594,0.0
55,1,1,0.0,0.0
56,1,1,0.0,0.0
57,1,1,0.012782000000001313,0.0
58,1,1,0.0,0.0
59,1,1,0.0,0.0
60,1,1,0.0,0.0
61,1,1,0.0014159843199999522,0.0
62,1,1,0.0,0.0
63,1,1,0.00287615605333328,0.0
64,1,1,0.0,0.0
65,1,1,0.007878248959999917,0.0
66,1,1,0.0,0.0
67,1,1,0.009177615466666914,0.0
68,1,1,0.0,0.0
69,1,1,0.0,0.0
70,1,1,0.0016046605866666536,0.0
71,1,1,0.0,0.0
72,1,1,0.0,0.0
73,1,1,0.013951978827977355,0.0
74,1,1,0.0029806610599846144,0.0
75,1,1,0.0038871538133331274,0.0
76,1,1,0.0,0.0
77,1,1,0.0,0.0
78,1,1,0.010635404505821643,0.0
79,1,1,0.0,0.0
80,1,1,0.0,0.0
81,1,1,0.004252640106666546,0.0
82,1,1,0.0,0.0
83,1,1,0.0,0.0
84,1,1,0.0,0.0
85,1,1,0.009297412373332571,0.0
86,1,1,0.0,0.0
87,1,1,0.015795499999996236,0.0
88,1,1,0.0,0.0
89,1,1,0.0,0.0
90,1,1,0.0,0.0
91,1,1,0.0,0.0
92,1,1,0.0,0.0
93,1,1,0.07959000000000942,0.0
94,1,1,0.011690000000001467,0.0
95,1,1,0.0,0.0
96,1,1,0.0,0.0
97,1,1,0.0,0.0
98,1,1,0.0038640000000002075,0.0
99,1,1,0.004115999999998905,0.0
100,1,1,0.0,0.0
101,1,1,0.0,0.0
102,1,1,0.0,0.0
103,1,1,0.013167000000001067,0.0
104,1,1,0.0,0.0
105,1,1,0.008868999999998333,0.0
106,1,1,0.0,0.0
107,1,1,0.010165434133333397,0.0
108,1,1,0.0,0.0
109,1,1,0.0,0.0
110,1,1,0.0,0.0
111,1,1,0.0,0.0
112,1,1,0.0,0.0
113,1,1,0.0,0.0
114,1,1,0.0,0.0
115,1,1,0.0,0.0
116,1,1,0.0,0.0
117,1,1,0.0,0.0
118,1,1,0.0,0.0
119,1,1,0.011502690773334129,0.0
120,1,1,0.0,0.0
121,1,1,0.0,0.0
122,1,1,0.0,0.0
123,1,1,0.0,0.0
124,1,1,0.0,0.0
125,1,1,0.0,0.0
126,1,1,0.0,0.0
127,1,1,0.0,0.0
128,1,1,0.016485000000002588,0.0
129,1,1,0.0,0.0
130,1,1,0.0,0.0
131,1,1,0.0,0.0
132,1,1,0.0,0.0
133,1,1,0.009050999999999691,0.0
134,1,1,0.01710727882797783,0.0
135,1,1,0.0,0.0
136,1,1,0.0,0.0
137,1,1,0.007806803733333076,0.0
138,1,1,0.0,0.0
139,1,1,0.015218000000005776,0.0
140,1,1,0.0010108182400000183,0.0
141,1,1,0.07733591637333206,0.0
142,1,1,0.09985756085333436,0.0
143,1,1,0.0,0.0
144,1,1,0.0,0.0
145,1,1,0.0,0.0
146,1,1,0.0,0.0
147,1,1,0.0,0.0
148,1,1,0.0,0.0
149,1,1,0.08004332241126658,0.0
150,1,1,0.12832659861373596,0.0
151,1,1,0.05140572042664297,0.0
152,1,1,0.0,0.0
153,1,1,0.0015891383466667165,0.0
154,1,1,0.0,0.0
155,1,1,0.10768715413333359,0.0
156,1,1,0.040953197226665704,0.0
157,1,1,0.0,0.0
158,1,1,0.012671816959999985,0.0
159,1,1,0.001831883306666818,0.0
160,1,1,0.0321267999999995,0.11064199999997937
161,1,1,0.025192905600000676,0.0
162,1,1,0.0,0.0
163,1,1,0.002517412906666558,0.0
164,1,1,0.00650299999999938,0.0
165,1,1,0.0,0.0
166,1,1,0.0,0.0
167,1,1,0.0088768070399995,0.0
168,1,1,0.0,0.0
169,1,1,0.0,0.0
170,1,1,0.0,0.0
171,1,1,0.0,0.0
172,1,1,0.0,0.0
173,1,1,0.023223112533334,0.0
174,1,1,0.0046061324799999345,0.0
175,1,1,0.015043736853334544,0.0
176,1,1,0.007160999999999152,0.0
177,1,1,0.023541000000001838,0.0
178,1,1,0.0,0.0
179,1,1,0.0038430000000017933,0.0
180,1,1,0.016913940266667232,0.0
181,1,1,0.02761662192816336,0.0
182,1,1,0.0,0.0
183,1,1,0.0,0.0
184,1,1,0.0,0.0
185,1,1,0.0,0.0
186,1,1,0.06866060415999922,0.0
187,1,1,0.0,0.0
188,1,1,0.0,0.0
189,1,1,0.0743950964162832,0.0
190,1,1,0.012740230783201412,0.0
191,1,1,0.0,0.0
192,1,1,0.0,0.0
193,1,1,0.0,0.0
194,1,1,0.013312380266666465,0.0
195,1,1,0.023218999999998824,0.0
196,1,1,0.004549999999998937,0.0
197,1,1,0.0,0.0
198,1,1,0.0,0.0
199,1,1,0.0,0.0
200,1,1,0.031066000000006564,0.0
201,1,1,0.0,0.0
202,1,1,0.0017954035200000683,0.0
203,1,1,0.0,0.0
204,1,1,0.0,0.0
205,1,1,0.0,0.0
206,1,1,0.0,0.0
207,1,1,0.0,0.0
208,1,1,0.0,0.0
209,1,1,0.0,0.0
210,1,1,0.023218999999998824,0.0
211,1,1,0.016739151359999815,0.0
212,1,1,0.0,0.0
213,1,1,0.0,0.0
214,1,1,0.0024506729599997994,0.0
215,1,1,0.0,0.0
216,1,1,0.0,0.0
217,1,1,0.0,0.0
218,1,1,0.0057081361058605486,0.0
219,1,1,0.0030904999999992297,0.0
220,1,1,0.0,0.0
221,1,1,0.0,0.6314958756586464
222,1,1,0.034062000000023525,0.5845084536221907
223,1,1,0.0,0.0
224,1,1,0.0,0.0
225,1,1,0.0,0.0
226,1,1,0.0,0.0
227,1,1,0.0,0.0
228,1,1,0.08570432991999626,0.0
229,1,1,0.026291999999997977,0.0
230,1,1,0.0,0.0
231,1,1,0.0,0.0
232,1,1,0.0,0.0
233,1,1,0.0,0.0
