ID,Zone,Village,Resource,Total_Storage_MWh,Start_Storage_MWh,Change_in_Storage_MWh
3,1,1,batt_bel1,1.695194682258935,0.0,1.695194682258935
6,1,2,batt_bel2,5.172225844167091,0.0,5.172225844167091
9,1,3,batt_bel3,5.147723034270079,0.0,5.147723034270079
12,1,4,batt_bel4,2.378976427448037,0.0,2.378976427448037
15,1,5,batt_bel5,2.678343824418459,0.0,2.678343824418459
18,1,6,batt_bel6,2.3544380870950024,0.0,2.3544380870950024
21,1,7,batt_bel7,2.19232627717722,0.0,2.19232627717722
24,1,8,batt_bel8,4.333953521485129,0.0,4.333953521485129
27,1,9,batt_bel9,4.177756290163545,0.0,4.177756290163545
30,1,10,batt_bel10,2.426013399528287,0.0,2.426013399528287
33,1,11,batt_bel11,4.036381641625021,0.0,4.036381641625021
36,1,12,batt_bel12,1.736591195821029,0.0,1.736591195821029
39,1,13,batt_bel13,2.4637704872838504,0.0,2.4637704872838504
42,1,14,batt_bel14,1.2563301455283358,0.0,1.2563301455283358
45,1,15,batt_bel15,1.613054035047124,0.0,1.613054035047124
48,1,16,batt_bel16,3.000526902591117,0.0,3.000526902591117
51,1,17,batt_bel17,2.060253429721174,0.0,2.060253429721174
54,1,18,batt_bel18,0.7929571466698812,0.0,0.7929571466698812
57,1,19,batt_bel19,1.241219829674797,0.0,1.241219829674797
60,1,20,batt_bel20,0.2712393479423848,0.0,0.2712393479423848
63,1,21,batt_bel21,1.0171199627697523,0.0,1.0171199627697523
66,1,22,batt_bel22,0.7232951698230812,0.0,0.7232951698230812
69,1,23,batt_bel23,0.6987980416616683,0.0,0.6987980416616683
72,1,24,batt_bel24,0.4106162698855917,0.0,0.4106162698855917
75,1,25,batt_bel25,0.2994710083344414,0.0,0.2994710083344414
78,1,26,batt_bel26,0.8381761346833451,0.0,0.8381761346833451
81,1,27,batt_bel27,0.766606512213056,0.0,0.766606512213056
84,1,28,batt_bel28,0.5688394208771346,0.0,0.5688394208771346
87,1,29,batt_bel29,0.4049740715559436,0.0,0.4049740715559436
90,1,30,batt_bel30,0.3107665304976261,0.0,0.3107665304976261
93,1,31,batt_bel31,0.6328943043054595,0.0,0.6328943043054595
96,1,32,batt_bel32,0.9493156108133167,0.0,0.9493156108133167
99,1,33,batt_bel33,0.5612995246436213,0.0,0.5612995246436213
102,1,34,batt_bel34,0.45205343370237294,0.0,0.45205343370237294
105,1,35,batt_bel35,0.46334375969905234,0.0,0.46334375969905234
108,1,36,batt_bel36,0.2712411741908356,0.0,0.2712411741908356
111,1,37,batt_bel37,0.4746404496263474,0.0,0.4746404496263474
114,1,38,batt_bel38,0.9700510435454678,0.0,0.9700510435454678
117,1,39,batt_bel39,0.4350964522557464,0.0,0.4350964522557464
120,1,40,batt_bel40,0.3898787855344818,0.0,0.3898787855344818
123,1,41,batt_bel41,0.4219183173816256,0.0,0.4219183173816256
126,1,42,batt_bel42,0.47465539837212894,0.0,0.47465539837212894
129,1,43,batt_bel43,0.834408161626807,0.0,0.834408161626807
132,1,44,batt_bel44,0.6536033530506142,0.0,0.6536033530506142
135,1,45,batt_bel45,0.4953808420289656,0.0,0.4953808420289656
